Wall time,Step,Value
1516583814.6825712,2000,235.0
1516586675.6692724,4000,229.0
1516589559.4284344,6000,237.0
1516592461.8556242,8000,237.0
1516595303.9308734,10000,227.0
1516598172.9130774,12000,233.0
1516601081.508143,14000,231.0
1516603982.6025934,16000,231.0
1516606862.7719603,18000,236.0
1516609824.5370393,20000,236.0
1516612665.6643682,22000,233.0
1516615622.6159978,24000,233.0
1516618473.180719,26000,232.0
1516621359.225179,28000,231.0
1516624251.6320841,30000,230.0
1516627163.5091488,32000,231.0
1516630013.8513722,34000,234.0
1516632917.5104992,36000,229.0
1516635848.16185,38000,234.0
1516638751.8332617,40000,232.0
1516641660.1600585,42000,231.0
1516644541.1858609,44000,238.0
1516647432.242145,46000,232.0
1516650395.7398195,48000,232.0
1516653221.9328384,50000,234.0
1516656170.4663339,52000,230.0
1516659014.5536487,54000,229.0
1516661905.2065363,56000,231.0
