Wall time,Step,Value
1516583814.6825712,2000,4.0
1516586675.6692724,4000,7.0
1516589559.4284344,6000,4.0
1516592461.8556242,8000,2.0
1516595303.9308734,10000,4.0
1516598172.9130774,12000,5.0
1516601081.508143,14000,3.0
1516603982.6025934,16000,6.0
1516606862.7719603,18000,6.0
1516609824.5370393,20000,7.0
1516612665.6643682,22000,2.0
1516615622.6159978,24000,2.0
1516618473.180719,26000,6.0
1516621359.225179,28000,5.0
1516624251.6320841,30000,5.0
1516627163.5091488,32000,0.0
1516630013.8513722,34000,7.0
1516632917.5104992,36000,4.0
1516635848.16185,38000,6.0
1516638751.8332617,40000,1.0
1516641660.1600585,42000,5.0
1516644541.1858609,44000,3.0
1516647432.242145,46000,2.0
1516650395.7398195,48000,5.0
1516653221.9328384,50000,8.0
1516656170.4663339,52000,4.0
1516659014.5536487,54000,5.0
1516661905.2065363,56000,5.0
