Wall time,Step,Value
1516583814.6825712,2000,265.0
1516586675.6692724,4000,271.0
1516589559.4284344,6000,263.0
1516592461.8556242,8000,263.0
1516595303.9308734,10000,273.0
1516598172.9130774,12000,267.0
1516601081.508143,14000,269.0
1516603982.6025934,16000,269.0
1516606862.7719603,18000,264.0
1516609824.5370393,20000,264.0
1516612665.6643682,22000,267.0
1516615622.6159978,24000,267.0
1516618473.180719,26000,268.0
1516621359.225179,28000,269.0
1516624251.6320841,30000,270.0
1516627163.5091488,32000,269.0
1516630013.8513722,34000,266.0
1516632917.5104992,36000,271.0
1516635848.16185,38000,266.0
1516638751.8332617,40000,268.0
1516641660.1600585,42000,269.0
1516644541.1858609,44000,262.0
1516647432.242145,46000,268.0
1516650395.7398195,48000,268.0
1516653221.9328384,50000,266.0
1516656170.4663339,52000,270.0
1516659014.5536487,54000,271.0
1516661905.2065363,56000,269.0
