Wall time,Step,Value
1516585355.1635885,2000,273.0
1516589856.6575546,4000,264.0
1516594270.0954273,6000,271.0
1516598826.3014297,8000,268.0
1516603492.4898703,10000,265.0
1516608109.565002,12000,272.0
1516612663.290175,14000,271.0
1516617147.5446546,16000,266.0
1516621698.5159037,18000,267.0
1516626314.2193613,20000,267.0
1516630913.569465,22000,272.0
1516635525.9534662,24000,270.0
1516640146.9556174,26000,270.0
1516644590.4757607,28000,266.0
1516649178.0100856,30000,269.0
1516653763.4124026,32000,272.0
1516658283.418625,34000,272.0
1516662770.6933784,36000,269.0
