Wall time,Step,Value
1516962617.3378475,42,0.87890625
1516962723.0172079,167,0.8828125
1516962775.7587538,229,0.875
1516962982.374353,474,0.87890625
1516963034.8806064,536,0.88671875
1516963071.5291502,579,0.91796875
1516963077.305767,586,0.8984375
1516963117.8488948,634,0.8984375
1516963128.6864896,647,0.88671875
1516963185.7541802,714,0.92578125
1516963265.6840453,808,0.87109375
1516963440.4783237,1014,0.88671875
1516963710.446002,1333,0.87890625
1516963754.267054,1385,0.89453125
1516963760.1385546,1392,0.890625
1516963797.82545,1436,0.87890625
1516964014.2791803,1691,0.890625
1516964050.6478343,1734,0.91796875
1516964053.3336024,1737,0.89453125
1516964172.093865,1877,0.90234375
1516964206.4601395,1917,0.875
1516964308.542405,2036,0.8671875
1516964540.3696256,2307,0.87109375
1516964609.8412435,2389,0.92578125
1516964691.5343153,2485,0.89453125
1516964692.4951434,2486,0.859375
1516964861.9160476,2685,0.87890625
1516965163.724708,3038,0.87890625
1516965327.7500079,3230,0.8828125
1516965341.2515967,3246,0.890625
1516965391.879437,3305,0.8984375
1516965659.6688435,3618,0.8984375
1516965661.3429449,3620,0.91015625
1516965703.8271616,3670,0.89453125
1516965764.1791973,3741,0.90625
1516965831.9994862,3821,0.9140625
1516965947.5899625,3956,0.90234375
1516966255.4680054,4317,0.91796875
1516966326.2007403,4400,0.890625
1516966404.358408,4492,0.89453125
1516966419.0142736,4509,0.89453125
1516966561.4032578,4676,0.93359375
1516966656.8772135,4788,0.91015625
1516966813.4792578,4971,0.87109375
1516966952.406747,5134,0.91796875
1516967130.9636168,5345,0.88671875
1516967142.7091186,5359,0.90234375
1516967449.4620981,5723,0.89453125
1516967568.0686467,5864,0.9140625
1516967604.3846488,5907,0.953125
1516967673.968837,5990,0.9140625
1516967848.8969665,6200,0.93359375
1516967864.8215857,6219,0.8828125
1516968160.7440119,6574,0.8828125
1516968265.196814,6699,0.94921875
1516968274.8663113,6711,0.921875
1516968394.4940684,6854,0.9140625
1516968488.2438896,6966,0.921875
1516968644.9049919,7155,0.8828125
1516968834.577634,7382,0.890625
1516968899.5089002,7460,0.9453125
1516968901.8501904,7463,0.91796875
1516968941.730037,7511,0.93359375
1516969179.9920273,7798,0.89453125
1516969209.3362966,7833,0.91796875
1516969404.8815548,8066,0.921875
1516969499.869761,8180,0.9375
1516969533.7679589,8221,0.90625
1516969652.380849,8363,0.91015625
1516969765.0848694,8498,0.93359375
1516969773.6403482,8508,0.94140625
1516969851.074622,8601,0.9375
1516970082.3375573,8878,0.953125
1516970129.5553038,8935,0.9453125
1516970400.1162279,9260,0.91796875
1516970573.076108,9468,0.92578125
1516970645.0441694,9554,0.921875
1516970655.9367468,9567,0.890625
1516970764.9489357,9698,0.93359375
1516974767.3099923,10399,0.9296875
1516974834.0394943,10479,0.94140625
1516974869.9672928,10522,0.93359375
1516974940.7140121,10607,0.91796875
1516975085.1156175,10780,0.8828125
1516975187.0585003,10902,0.94140625
1516975189.6314812,10905,0.9375
1516975240.1988378,10966,0.95703125
1516975285.9496002,11020,0.94921875
1516975354.1496983,11102,0.93359375
1516975712.1205251,11532,0.89453125
1516975740.6520047,11566,0.94140625
1516975840.1778207,11685,0.94140625
1516975902.190452,11759,0.9296875
1516976077.428566,11969,0.94140625
1516976081.3766716,11974,0.93359375
1516976240.2317648,12164,0.94921875
1516976345.6359572,12290,0.9375
1516976836.1418686,12877,0.96484375
1516976968.360238,13034,0.96484375
1516976991.3018723,13061,0.94140625
1516977396.9675972,13546,0.9609375
1516977439.7672763,13597,0.9453125
1516977458.8879747,13620,0.95703125
1516977617.9129539,13810,0.9296875
1516977962.1651633,14221,0.93359375
