Wall time,Step,Value
1517028349.363245,42,0.50390625
1517028454.015766,167,0.76171875
1517028506.2280655,229,0.78515625
1517028711.1747148,474,0.74609375
1517028763.0108793,536,0.81640625
1517028799.10674,579,0.8125
1517028805.1682596,586,0.79296875
1517028845.3259628,634,0.8359375
1517028856.125859,647,0.8046875
1517028912.2374709,714,0.8203125
1517028990.753365,808,0.80859375
1517029163.4245641,1014,0.859375
1517029428.894755,1333,0.86328125
1517029471.342878,1385,0.87109375
1517029477.0431302,1392,0.84765625
1517029512.8100715,1436,0.83984375
1517029757.1597195,1734,0.85546875
1517029759.481944,1737,0.84765625
1517029874.1608956,1877,0.86328125
1517029907.0863335,1917,0.8515625
1517030004.9929438,2036,0.89453125
1517030227.3739724,2307,0.875
1517030294.891914,2389,0.86328125
1517030373.1579378,2485,0.8984375
1517030374.0998023,2486,0.84765625
1517030537.483659,2685,0.87109375
1517030826.3198733,3038,0.91015625
1517030983.9926836,3230,0.8984375
1517030996.993174,3246,0.91015625
1517031045.6741042,3305,0.87109375
1517031302.2120082,3618,0.8984375
1517031303.8765552,3620,0.91015625
1517031345.2545369,3670,0.890625
1517031468.9843395,3821,0.88671875
1517031578.7073388,3956,0.91796875
1517031875.2297173,4317,0.90234375
1517031943.1259892,4400,0.8984375
1517032018.2064047,4492,0.90625
1517032032.361735,4509,0.890625
1517032169.2493224,4676,0.85546875
1517032411.996338,4971,0.91015625
1517032547.3524973,5134,0.8203125
1517032721.251197,5345,0.9140625
1517032732.8880584,5359,0.91015625
1517033032.5040984,5723,0.8984375
1517033147.9393213,5864,0.890625
1517033183.1875398,5907,0.921875
1517033252.2855456,5990,0.8515625
1517033425.0830715,6200,0.9140625
1517033440.5415337,6219,0.90625
1517033835.7033145,6699,0.90625
1517033845.3757362,6711,0.87109375
1517033961.8250668,6854,0.8671875
1517034054.4784658,6966,0.8984375
1517034209.9282877,7155,0.8671875
1517034459.8567271,7460,0.87890625
1517034462.3071346,7463,0.90625
1517034736.321553,7798,0.90625
1517034764.9408169,7833,0.87109375
1517034955.7201438,8066,0.87109375
1517035049.205083,8180,0.86328125
1517035082.1587431,8221,0.92578125
1517035308.3193011,8498,0.89453125
1517035316.7557778,8508,0.8828125
1517035619.1636636,8878,0.89453125
1517035665.8057814,8935,0.8671875
1517035931.9862163,9260,0.85546875
1517036101.758385,9468,0.8828125
1517036171.9001994,9554,0.87890625
1517036182.4493608,9567,0.875
1517036290.4749813,9698,0.91015625
1517038961.016386,10399,0.8828125
1517039027.4001338,10479,0.87890625
1517039062.7924767,10522,0.828125
1517039133.4170728,10607,0.88671875
1517039277.296852,10780,0.86328125
1517039378.3375173,10902,0.8828125
1517039380.7025406,10905,0.86328125
1517039430.7408242,10966,0.875
1517039475.7461872,11020,0.8828125
1517039542.7789717,11102,0.87890625
1517039896.2721667,11532,0.8359375
1517039924.677891,11566,0.88671875
1517040022.910422,11685,0.875
1517040084.0631132,11759,0.89453125
1517040257.5221682,11969,0.8984375
1517040261.4847827,11974,0.890625
1517040419.579104,12164,0.87890625
1517040523.5192194,12290,0.88671875
1517041008.1853502,12877,0.90234375
1517041138.3033924,13034,0.90625
1517041160.6848714,13061,0.90234375
1517041603.1324248,13597,0.89453125
1517041621.9689462,13620,0.8671875
1517041779.1372354,13810,0.85546875
1517042119.3097725,14221,0.88671875
1517042179.790021,14294,0.89453125
1517042216.4909053,14338,0.91015625
1517042306.9116971,14447,0.90625
1517042465.1675122,14638,0.90234375
1517042489.9378808,14668,0.87109375
1517042581.819625,14779,0.88671875
1517042659.7691135,14873,0.89453125
1517043155.6758528,15473,0.87890625
1517043395.5272276,15764,0.89453125
1517043685.473201,16116,0.87109375
1517043854.269085,16321,0.8984375
1517044297.8948753,16857,0.9140625
1517044471.3853812,17066,0.8828125
1517044497.0929456,17097,0.8828125
1517044678.9032044,17317,0.88671875
1517044696.9310615,17339,0.88671875
1517044865.4830563,17543,0.91796875
1517044876.9566207,17557,0.91796875
1517045616.534312,18451,0.90234375
1517046166.6952686,19116,0.87109375
1517046210.7146456,19169,0.859375
1517046509.6078746,19531,0.89453125
1517046599.9288533,19640,0.88671875
1517046611.273006,19654,0.8984375
1517046675.469087,19731,0.91796875
1517046893.5445833,19995,0.8984375
1517049275.779645,20053,0.890625
1517049282.9572623,20062,0.90625
1517049433.655479,20244,0.8828125
1517049440.2367303,20252,0.89453125
1517049498.6186259,20323,0.890625
1517049595.0941749,20440,0.87109375
1517049676.6740654,20539,0.9140625
1517049709.0799308,20578,0.87890625
1517049875.0494013,20779,0.90234375
1517049877.4373796,20782,0.875
1517049937.4705775,20855,0.89453125
1517050125.033337,21080,0.8984375
1517050178.2244465,21144,0.8984375
1517050251.4467149,21232,0.90234375
1517050324.2167764,21319,0.859375
1517050494.0483053,21523,0.93359375
1517050765.6012933,21848,0.90625
1517051097.9777784,22245,0.9140625
1517051169.2270603,22330,0.91015625
1517051192.6311283,22358,0.87890625
1517051843.4113972,23138,0.9296875
1517051851.7189274,23148,0.91796875
1517051888.2440467,23192,0.91796875
1517051966.0921319,23286,0.91015625
1517052028.4836261,23361,0.875
1517052083.0100126,23427,0.89453125
1517052177.0269964,23540,0.90234375
1517052284.9602633,23670,0.8671875
1517052293.9546206,23681,0.890625
1517052310.7448106,23701,0.8828125
1517052506.607927,23938,0.90625
1517052679.1739972,24147,0.90625
1517052791.1976802,24282,0.91015625
1517052792.7922242,24284,0.90625
1517052824.6379225,24322,0.875
1517053072.176978,24621,0.90234375
1517053154.1973944,24719,0.8828125
1517053160.886721,24727,0.87109375
1517053307.4736078,24901,0.91015625
1517053335.0030756,24934,0.90625
1517053595.9699821,25253,0.92578125
1517053709.3011718,25391,0.8984375
1517054056.0858524,25812,0.92578125
1517054085.2599363,25847,0.87109375
1517054146.320066,25921,0.90234375
1517054462.0163043,26303,0.91015625
1517054870.93409,26797,0.90234375
1517054871.6382873,26798,0.91015625
1517055164.801021,27154,0.87109375
1517055168.9982805,27159,0.87109375
1517055454.8513463,27505,0.89453125
1517055535.6119351,27603,0.9140625
1517055564.801327,27638,0.875
1517055719.8494496,27825,0.93359375
1517055795.7970061,27916,0.90625
1517056229.2175925,28438,0.91015625
1517056316.82781,28543,0.91015625
1517056672.6223664,28970,0.921875
1517056693.924281,28996,0.8984375
1517056749.1677554,29062,0.921875
1517056864.0526469,29201,0.90625
1517056915.9777658,29263,0.9375
1517057088.63906,29471,0.875
1517057101.7682364,29487,0.89453125
1517057204.0444014,29611,0.87890625
1517057383.50975,29829,0.92578125
1517060007.0438795,30005,0.8828125
1517060028.9069226,30031,0.890625
1517060147.217116,30174,0.92578125
1517060274.6440196,30327,0.9140625
1517060393.570228,30470,0.90234375
1517060511.9231367,30612,0.9140625
1517060590.5148163,30706,0.88671875
1517060602.2651575,30720,0.88671875
1517061177.314701,31406,0.92578125
1517061208.7552726,31443,0.8984375
1517061422.1878045,31696,0.91796875
1517061576.0545816,31880,0.9296875
1517061623.6372201,31936,0.9140625
1517061681.0426333,32004,0.90234375
1517061850.0786748,32207,0.92578125
1517062039.2241561,32435,0.91015625
1517062128.601697,32542,0.921875
1517062224.458382,32657,0.93359375
1517062311.5868652,32762,0.921875
1517062421.5222394,32894,0.92578125
1517062428.2643166,32902,0.921875
1517062538.7477834,33034,0.9296875
1517062661.0300503,33181,0.9140625
1517062824.1321774,33375,0.90234375
1517062847.7599013,33403,0.921875
1517063128.9466996,33737,0.90625
1517063139.0694387,33749,0.89453125
1517063155.4541945,33768,0.91796875
1517063169.468579,33785,0.93359375
1517063214.8394556,33839,0.91015625
1517063245.913588,33876,0.92578125
1517063277.5353887,33913,0.91796875
1517063381.3718596,34036,0.90625
1517063653.5150445,34362,0.8984375
1517063789.4362981,34525,0.9140625
1517063851.3263867,34599,0.921875
1517064004.6337245,34783,0.9296875
1517064465.4865637,35333,0.90625
1517064483.0538294,35354,0.93359375
1517064502.648271,35377,0.92578125
1517064592.0228221,35483,0.9140625
1517064667.8754232,35573,0.90625
1517064834.2955205,35771,0.92578125
1517064900.1170082,35849,0.90625
1517064987.4352179,35953,0.89453125
1517065057.895226,36037,0.875
1517065232.1986086,36246,0.92578125
1517065256.3041832,36275,0.9140625
1517065550.6447973,36629,0.91796875
1517065575.8876605,36659,0.890625
1517065665.5907135,36767,0.94140625
1517065734.6606786,36850,0.88671875
1517065782.2735765,36907,0.921875
1517066029.7222493,37202,0.92578125
1517066271.878162,37489,0.92578125
1517066502.3141088,37764,0.9140625
1517066596.468489,37876,0.93359375
1517067066.90663,38439,0.91015625
1517067080.3410006,38455,0.90625
1517067300.7182915,38720,0.921875
1517067400.269775,38840,0.9375
1517067517.3791351,38981,0.89453125
1517067782.5172298,39296,0.921875
1517068122.3941126,39702,0.94921875
1517068188.9444952,39781,0.9140625
1517068269.8824344,39878,0.91015625
1517068295.6339426,39909,0.91796875
1517070532.8458912,40020,0.92578125
1517070765.7820485,40296,0.9296875
1517070937.317262,40500,0.9375
1517071075.379692,40663,0.9453125
1517071078.82701,40667,0.91796875
1517071106.8789008,40700,0.92578125
1517071124.0025527,40720,0.9140625
1517071185.9822536,40793,0.91796875
1517071395.1632273,41040,0.90625
1517071566.5366957,41244,0.90625
1517071589.675958,41271,0.9296875
1517071648.5781145,41341,0.94140625
1517071816.5615118,41539,0.9375
1517071830.1729996,41555,0.91015625
1517072321.4012082,42134,0.94140625
1517072589.3707073,42450,0.91796875
